# Resampled ADU, ADU Uncertainty, Sky ADU
2.526335935368489327e+00,3.320165199808372769e+00,-2.400976421335409583e+01
6.005976787265316474e+00,4.504622542645959626e+00,-4.590911222805269176e+01
1.255631637982273574e+01,3.933626908902516650e+00,-4.444693004880365095e+01
6.336733909656272701e+00,5.352653354155200383e+00,-6.135579590929373950e+01
5.452946637546927988e+00,5.340402701511020034e+00,-5.965529037568260406e+01
2.608575127231641755e+00,6.282862272086322974e+00,-7.656131478264219936e+01
4.794818919725702067e+00,6.499556059287363574e+00,-8.207475564346110275e+01
1.069333558085312319e+01,6.044738906583390303e+00,-7.989669310869632568e+01
3.962284663092166870e+00,4.789408837708440281e+00,-4.777402364395764067e+01
1.656255294218962337e+00,4.480638287938479181e+00,-3.906033647410444587e+01
1.253805951280813780e+01,4.236523542582905755e+00,-4.930731448917154580e+01
8.540241025086361404e+00,4.835759783983801796e+00,-5.523521398238963798e+01
6.250034143454916702e+00,5.216530641736039975e+00,-5.906573916423763393e+01
1.606916675871604028e+01,4.580535557143680769e+00,-6.060032061814493431e+01
1.455277829775508103e+01,4.557122609389320900e+00,-5.788794919934893102e+01
6.469324618037567198e+00,4.925759693585813004e+00,-5.302837159408524315e+01
9.479479764859382485e+00,4.480618352032129437e+00,-4.974775432394392283e+01
1.256818105099920579e+01,3.574013234130565930e+00,-4.067122700065034024e+01
1.482978172321810284e+01,2.311558659600664978e+00,-3.200071723224364462e+01
1.100911009733178503e+01,1.474438099882931841e+00,-1.968908457414086044e+01
1.111586855019809583e+01,2.334649934074989996e+00,-5.469110191179711755e+00
2.388605804566496715e+01,3.470458826076463055e+00,-2.420968189906343326e+00
2.137762230166774913e+01,3.636855807209496305e+00,3.602423631692997397e+00
1.878479496421655526e+01,3.836835463924430645e+00,6.968584548474850315e+00
2.032091480963043040e+01,4.109869842743483659e+00,7.453238364941662475e+00
1.741557638496429306e+01,4.510528323863549183e+00,1.716137428973785717e+01
6.092222366443386328e+00,4.543966655845253833e+00,3.122408573586748304e+01
1.184484779750567007e+01,4.102150132431310325e+00,1.673499822741071341e+01
1.069905800113608763e+01,4.370824905168532837e+00,2.250062434758666186e+01
7.270117399555886095e+00,4.635082536942666032e+00,3.106466101962782744e+01
1.113707179023631788e+01,4.646999084939082536e+00,2.652611524382387032e+01
8.872457210563062802e+00,3.901621527566975445e+00,1.770032985315242868e+01
1.142466012855170909e+01,4.165782617196594373e+00,1.853149061648963780e+01
6.999402780622149933e+00,4.346238221093563503e+00,2.648439503191033140e+01
7.597104258062840287e+00,4.615093202194390898e+00,3.017178540870240155e+01
1.051851160459100321e+01,4.221308969928530885e+00,2.041058011941736794e+01
4.336710066136803654e+00,5.017683462596650656e+00,4.191979202094629642e+01
1.515688697977016219e-01,5.355361887245649655e+00,5.259010296446528088e+01
1.043692958733327636e+01,4.790894747713130286e+00,3.051686507916650015e+01
8.632597860744299467e+00,4.197490413292467082e+00,2.250428397001050485e+01
1.224441713040480906e+01,4.951318089360822405e+00,3.106109700319472111e+01
1.108334157886392468e+01,4.967933704941155604e+00,3.138404207562030024e+01
3.948940198107445454e+00,5.034531570585110138e+00,4.207467988460002317e+01
7.046643012501232484e+00,4.504247311229533146e+00,2.876102450983891501e+01
1.080209065510235078e+01,4.039270554180905748e+00,1.727355731949722895e+01
1.538992589511445885e+01,4.547992657056528110e+00,1.972440523836815629e+01
1.056994186350238429e+01,4.991928139149193200e+00,3.267319658410185212e+01
6.912354534624803648e+00,4.829284002665995779e+00,3.432085249736071120e+01
6.632916387891446774e+00,4.594418988085373634e+00,3.050721619136541207e+01
1.165287589942034430e+01,5.000747322617532298e+00,3.213167290335483983e+01
7.946687465182401766e+00,5.327598060930881729e+00,4.296223399940504351e+01
8.727787951223588081e+00,5.031904702555734410e+00,3.666380795959115346e+01
1.180178679630499161e+01,5.049387098949237540e+00,3.333719838699120430e+01
1.705089578933483807e+01,5.187048330220537018e+00,2.900886033838184375e+01
1.405271454529363773e+01,5.099404712348056812e+00,3.091819983153682827e+01
7.269676852383289756e+00,5.276093936681601093e+00,4.254791080570291939e+01
1.093952213928460360e+01,5.283398495526498984e+00,3.775023136592249529e+01
1.088319879173244153e+01,4.785596434910690533e+00,2.905837550353140841e+01
9.444441936660290082e+00,4.713190222083883718e+00,3.019200944628734717e+01
1.048917004380071383e+01,4.953638626482603335e+00,3.295696301789544691e+01
1.243071686183505520e+01,4.569131547712469654e+00,2.357754997663343843e+01
1.595007113734456183e+01,4.487121046794087853e+00,1.839919325015556950e+01
6.868763837940418782e+00,4.854371150180856631e+00,3.574396842961513698e+01
7.488188543102206829e+00,5.301686671264435269e+00,4.301865453424338170e+01
1.254507847516146235e+01,5.281732595555334697e+00,3.604390640843334381e+01
7.268568116702780024e+00,5.177810931789148086e+00,4.127286215222441967e+01
1.721595943697366948e+01,4.912551192192306182e+00,2.432404337256239302e+01
6.912306689470064214e+00,5.368985395948843831e+00,4.436524160622204960e+01
1.724969341357560992e+01,4.817567093008967127e+00,2.249940904102130546e+01
9.415833674011466314e+00,4.325770203170205441e+00,2.342535565008750353e+01
1.375089086775453673e+01,4.796840645444246043e+00,2.522809675475814828e+01
3.234597178348723290e+00,4.842638940136867909e+00,3.970009766894012415e+01
5.546037941373603175e+00,5.061619591471908208e+00,4.092663291922610824e+01
5.691588556698594203e+00,4.235225273038492055e+00,2.651450609482465026e+01
9.205000066831370731e+00,4.382855706341447721e+00,2.399539657913727808e+01
4.184887571676465967e+00,4.875153799093562057e+00,3.921550065036083765e+01
6.102948874545840674e+00,5.174723145994075679e+00,4.198990912431793987e+01
5.940349883480561033e+00,4.431520437260547673e+00,2.953938995161376013e+01
8.005384177423229275e+00,4.728547304794610717e+00,3.205029917317978061e+01
2.447847671322706020e+01,5.208249244800647659e+00,2.169940363228675650e+01
1.294751788213825883e+01,4.824077612143305771e+00,2.822147106057786559e+01
7.964889037937787464e+00,4.863798198709075926e+00,3.402331015033448125e+01
7.018119424859632360e+00,4.709188492951008165e+00,3.251545456828692693e+01
2.364558376315639254e+00,4.938967953458368143e+00,4.272082862645520152e+01
5.172780948907132803e+00,5.064817854045839951e+00,4.085157356230261883e+01
1.346192038760431586e+01,4.790956586282550056e+00,2.649256554528347962e+01
9.025845093560660004e+00,4.568367699820567118e+00,2.802325465460369003e+01
8.396601897613933829e+00,4.497123009785971348e+00,2.758483534178806806e+01
8.013350810542752001e+00,5.172611665485406185e+00,4.068856206333604320e+01
7.022336734905860745e+00,4.923801364978113604e+00,3.739768723015959750e+01
6.665142491500474442e+00,4.586751835977285197e+00,3.057737979958008268e+01
1.215473906432648299e+01,4.775386828411782858e+00,2.730222937956398965e+01
1.357438805861063713e+01,5.011740313608714636e+00,2.976193794242104929e+01
1.270688141748225597e+01,4.955300259293605514e+00,2.978962163037591537e+01
1.176502025028382548e+01,4.674551875638806031e+00,2.657301927098546557e+01
7.094703773350385489e+00,4.830124524994256596e+00,3.499974157721019452e+01
9.665769608635811139e+00,5.119853448548567165e+00,3.674195741459401887e+01
1.074884227897853961e+01,5.372883416097248066e+00,3.951675185013176161e+01
8.450972229111171075e+00,5.324679306439156434e+00,4.188715109096521871e+01
1.217817427500069627e+01,4.649022082244050225e+00,2.504884847777953993e+01
1.176440744800792615e+01,4.793090387829373356e+00,2.795576897957629825e+01
4.513551811577938722e+00,4.803894522759049046e+00,3.774588834745131294e+01
5.102456755404403133e+00,4.479212762955953053e+00,3.110523138687350198e+01
1.148503726993153329e+01,4.975788395169766787e+00,3.139113072312331454e+01
5.579937233123886564e+00,4.781918834208565450e+00,3.540187465272298084e+01
4.154357008573070331e+00,4.658946830208004819e+00,3.520962628186105547e+01
8.269062228064251840e+00,4.794143022550099609e+00,3.221654855249894922e+01
1.340862090767458703e+01,4.872713919472581701e+00,2.684335669421482962e+01
1.063468193314538190e+01,4.775276431513108655e+00,2.854182885483758270e+01
1.329424705736347967e+01,4.691578833713950125e+00,2.447321335652256380e+01
8.886343859553104352e+00,5.158557389197674148e+00,3.897734719263691261e+01
6.236598450194214216e+00,4.573831486271403790e+00,3.068995529306581105e+01
2.036412823345700218e+01,4.771108278759667698e+00,1.736906845620647388e+01
6.709875798120554791e+00,4.715453535387385209e+00,3.309341919360320361e+01
9.146930910989347296e+00,5.019314057762763071e+00,3.488681481242181803e+01
4.433694842417441606e+00,5.422038317178888178e+00,4.930715278027130211e+01
9.708232158916027643e+00,4.836375851705738249e+00,3.218356698490047307e+01
8.568456012477271955e+00,4.732073708710674786e+00,3.112702555588445463e+01
1.488760647744372712e+01,4.676783551855241861e+00,2.319884354274334015e+01
5.600695810733506086e+00,5.035231780263885959e+00,4.081788117064598254e+01
1.295747489393266783e+01,4.354570571150373937e+00,2.062209022195478880e+01
1.640020509279597860e+01,4.339073591764586624e+00,1.667495746153543479e+01
1.023753612323775464e+01,4.492934124279518215e+00,2.668156461194090312e+01
8.460564576924447522e+00,4.814010887396898752e+00,3.326809518186905734e+01
6.437966542012435234e+00,4.747514076890762880e+00,3.397441520248037961e+01
4.972223930346907572e+00,4.513504239882975000e+00,3.147033591300115418e+01
4.724783975703805261e+00,4.303684718124818787e+00,2.873836893722994645e+01
4.680758265127237472e+00,4.912802165921118736e+00,3.910262049856978450e+01
8.113278540928767768e+00,5.047542347827239873e+00,3.715449794609011747e+01
8.197837393583123244e+00,4.734166943058800037e+00,3.235411738614784127e+01
6.746646724414254948e+00,4.426677878368743713e+00,2.891747924157065341e+01
4.054318195876511766e+00,4.546124459894142156e+00,3.409492885091665215e+01
7.122539592085813887e+00,4.623033726178121583e+00,3.154946735860122686e+01
1.509820941813376471e+01,4.789603738874003369e+00,2.440354394274108785e+01
1.218218294116941003e+01,4.654913664165937881e+00,2.555284693870519064e+01
9.927851756664768601e+00,4.419100360981382813e+00,2.400866221595667938e+01
1.104364496770624093e+01,4.666545508545929088e+00,2.702273605182934091e+01
9.299244779998224075e+00,4.728180497653876380e+00,3.007417552923892856e+01
9.950207213429541397e+00,4.599267597348973169e+00,2.647273030107720615e+01
8.024115514187966980e+00,4.409307850391717132e+00,2.644497617098500797e+01
1.102536852990146699e+01,4.316420132712406321e+00,2.158390126623490701e+01
3.919269258408403012e+00,4.198731942128011596e+00,2.812765046864053176e+01
7.139047886950449673e+00,4.565346548223068623e+00,3.066286265181693693e+01
7.188505963035488833e+00,4.602154826637275598e+00,3.118684561701273950e+01
2.379982148831838451e+00,4.464720004542655829e+00,3.459916027296200269e+01
8.002523006776776526e+00,4.360030336396608419e+00,2.612596494938075864e+01
1.493542567714161962e+01,4.801507106860758434e+00,2.510674673989992556e+01
4.728713841961507569e+00,4.588202608749264222e+00,3.382507200901712707e+01
4.386047937366766014e+00,5.178634735513761633e+00,4.450790008969197942e+01
6.763271333165164378e+00,5.079706389701732050e+00,4.001446024046457950e+01
1.599342786137606076e+01,4.364325470154720499e+00,1.635123951647008056e+01
1.729250576826917296e+01,4.538589996776815738e+00,1.794342222711785340e+01
7.113587023593150427e+00,4.500380770683785947e+00,2.934144462956863464e+01
3.594127971610698413e+00,4.741286445950536610e+00,3.780612592807062811e+01
