# Resampled ADU, ADU Uncertainty, Sky ADU
2.182266471103727818e+06,1.495362291793320537e+03,7.626928482195720426e+04
2.122742057069291361e+06,1.475969644791192877e+03,8.046874032191796869e+04
2.172792705294173211e+06,1.493040185465017657e+03,8.050483966930495808e+04
2.116973618043764960e+06,1.474422592907989610e+03,8.220672229066128784e+04
2.124092904183911625e+06,1.476678942232030522e+03,8.248586511816309940e+04
2.145917921082228888e+06,1.483932280961154675e+03,8.207362531646776188e+04
2.198289116460585035e+06,1.501288685573539397e+03,8.065081511084786325e+04
2.154934033578353468e+06,1.486510053937726070e+03,7.950779038991828565e+04
2.263860467170734890e+06,1.522416535854159292e+03,7.821118670425018354e+04
2.141995355031690560e+06,1.481563241293906913e+03,7.810444922354824666e+04
2.164297592025535647e+06,1.489670408656866357e+03,7.806897852696863993e+04
2.164369520479396917e+06,1.489985428677073969e+03,8.055796536095114425e+04
2.176139006884437520e+06,1.494743468445538838e+03,8.497982175725499110e+04
2.111021889571731910e+06,1.473067939763805271e+03,8.576615107960291789e+04
2.097933734603576362e+06,1.468859749936371145e+03,8.728776216804745491e+04
2.117434910398865584e+06,1.476065259646493132e+03,8.845472588024874858e+04
2.188897130320912227e+06,1.499280058071355597e+03,8.575984955699890270e+04
2.194404563779936172e+06,1.500774111317999541e+03,8.458637276991066756e+04
2.112144081166951451e+06,1.473191728497864915e+03,8.495162068324793654e+04
2.171801355059418827e+06,1.493179007399179682e+03,8.300759039180178661e+04
2.234035569067029748e+06,1.514486586954614268e+03,8.502593228674215788e+04
2.216002136197877582e+06,1.508780099400259360e+03,8.631244734647346195e+04
2.127541900255303830e+06,1.478219126896548232e+03,8.254643491713215190e+04
2.139801264019233640e+06,1.481985414245566744e+03,8.037252811307745287e+04
2.164758594743322581e+06,1.489052202125023541e+03,7.535489858849682787e+04
2.173769380296749994e+06,1.492182008409745094e+03,7.630668049650045577e+04
2.120651884723996744e+06,1.474301059747040654e+03,7.548294102887442568e+04
2.119903513357615098e+06,1.474401172587723977e+03,7.766082923958044557e+04
2.153779431555271614e+06,1.486202043682017347e+03,7.980278023889449832e+04
2.141098504966293927e+06,1.482564766189507509e+03,8.151157190542595345e+04
2.154311901694457978e+06,1.487697642970625111e+03,8.400112585527591000e+04
2.095709770527367713e+06,1.467451597857999332e+03,8.282837568721608841e+04
2.175991939061827492e+06,1.494617825659684968e+03,8.369792980019103561e+04
2.172063969082348514e+06,1.493586446450092808e+03,8.413197270536287397e+04
2.100232839268133976e+06,1.469038594552620225e+03,8.388983052845165366e+04
2.087469919597167987e+06,1.464796734473989090e+03,8.381856056860748504e+04
2.096833442969524534e+06,1.467709660605253248e+03,8.244693053684064944e+04
2.119691944463017397e+06,1.475079046457817867e+03,8.036673290456988616e+04
2.117509136643420905e+06,1.473364081732408067e+03,7.665556760295099230e+04
2.100398660182744265e+06,1.467087354580694182e+03,7.533953815777419368e+04
2.088701575583455386e+06,1.463609872127515473e+03,7.645768157965606952e+04
2.072697089378968813e+06,1.458336734170264663e+03,7.665999430373964424e+04
2.083389634399364935e+06,1.462158792825345245e+03,7.868533558348096267e+04
2.123756786429826170e+06,1.476033639503434642e+03,8.012896388880383165e+04
2.084337016840297496e+06,1.462475588681986210e+03,8.002688955223905214e+04
2.067947497342538554e+06,1.457101192889786262e+03,7.957773653765452036e+04
2.056959756189794978e+06,1.453335084703277971e+03,7.871747713598510018e+04
2.057303772422677837e+06,1.454088787873760111e+03,7.855908069510954374e+04
2.116517418591753114e+06,1.473964014555848507e+03,7.824877317395551654e+04
2.189272022761321627e+06,1.497698344305305227e+03,7.763305873961951875e+04
2.146395553181768861e+06,1.482842818050098458e+03,7.652071007231288240e+04
2.076416034114232287e+06,1.458884891340800323e+03,7.494305015232544974e+04
2.048882611760822590e+06,1.449256063077190220e+03,7.451505723209600546e+04
2.037770783953624777e+06,1.445257229007957676e+03,7.416729050033712701e+04
2.058852427196038654e+06,1.452813246417386381e+03,7.434096815368735406e+04
2.060800583832899807e+06,1.453834410712984436e+03,7.499362770025835198e+04
2.080453877754522953e+06,1.460469844948028594e+03,7.514917637896530505e+04
2.057732967722096015e+06,1.452599871730079030e+03,7.582874168514330813e+04
2.034274615452193888e+06,1.444520584372606208e+03,7.511398711911959981e+04
2.071962709169053007e+06,1.458406607810769856e+03,7.575210351424691908e+04
2.077284382762316149e+06,1.460769440787282065e+03,7.870961514292866923e+04
2.049721160360526294e+06,1.451076773705571895e+03,8.102706301234092098e+04
2.034599842796166893e+06,1.446519703761897290e+03,8.382571638130536303e+04
