# Resampled ADU, ADU Uncertainty, Sky ADU
2.253854331371984987e+00,2.943977351048407076e+00,3.190520867101907498e+01
1.444257404217881069e+00,3.053184825276363590e+00,3.744272109766288281e+01
7.745002240842176811e+00,3.218419958535168046e+00,2.305974389922051415e+01
6.390925541019571554e+00,2.941211187101141267e+00,1.983821650321183228e+01
2.988124271347953886e+00,3.054742563172508696e+00,3.265960332342046257e+01
1.851622447869735399e+00,3.011412042266147004e+00,3.503388871807776894e+01
4.542367941384026331e+00,2.843295601962035235e+00,2.251228502904073281e+01
4.394516544489527554e+00,3.295527347778501870e+00,3.525133250641430749e+01
5.024430849814453204e+00,3.067164339997504374e+00,2.696908243992439580e+01
1.113555443794335797e+00,3.049337154876954337e+00,3.848489861774393006e+01
3.818744953371080442e+00,3.354478957074041645e+00,3.885465242272788089e+01
2.290923057934259877e+00,2.974385948804205260e+00,3.270334876024217863e+01
5.169843895498757114e+00,3.290312047201336743e+00,3.274320541925082750e+01
8.231896393560207414e+00,3.313757680229645786e+00,2.437885746889730498e+01
6.317146620733648632e+00,3.225648318532030157e+00,2.742116457214947900e+01
6.365857093141991108e+00,3.153917234742808162e+00,2.534708615265431675e+01
2.865314859636365785e+00,3.247995005673062430e+00,3.848843242732113623e+01
1.312764548830999578e+00,3.225360043755872486e+00,4.264351832792728203e+01
2.266693842788593649e+00,3.131816067145543059e+00,3.701420440247069621e+01
3.304802974144986472e+00,3.108936161518649044e+00,3.319016633969211938e+01
3.028683892389600452e+00,3.160721632838378259e+00,3.551170909549973942e+01
5.521727542749426121e+00,3.065640664007339478e+00,2.543196567262333119e+01
8.391041689374615586e+00,3.177297338571100749e+00,2.014881104752557661e+01
5.335672336466782184e+00,2.971808644124222631e+00,2.339250804034725562e+01
4.408030709068013309e+00,3.029243895775780793e+00,2.763453387515391668e+01
4.241004020247482131e+00,3.137532153315482297e+00,3.132875241558095070e+01
5.122104441845303668e+00,3.288936216062664286e+00,3.308368067814644320e+01
3.926839760281207958e+00,2.996821321318902331e+00,2.833194090103048524e+01
6.278382554670833393e+00,3.210368026708559697e+00,2.710938169332401770e+01
5.071935826925232149e+00,3.347331360853480930e+00,3.473335980107290766e+01
5.280579021132461470e+00,3.387756791201694817e+00,3.537911525505784738e+01
6.009708429526225082e+00,3.293487759863753528e+00,3.030630500853554210e+01
6.751647530719833590e+00,3.427942186959202608e+00,3.211645204137381882e+01
4.428615255283753882e+00,3.324133548528530380e+00,3.606247900494819447e+01
3.716589564712026839e+00,2.988923717594384133e+00,2.870954924642904516e+01
3.140410739604439172e+00,2.968230772006265283e+00,3.000660481068946694e+01
5.254175058400615050e+00,3.273214709879504802e+00,3.212084813681702400e+01
6.877676189371430659e+00,3.359426494892117088e+00,2.973375007187683039e+01
7.637051214812615285e+00,3.515261042542250358e+00,3.274929336299445026e+01
7.490840414966498884e+00,3.275564193312913375e+00,2.793212789291225917e+01
2.776714768284683554e+00,2.539824243924216240e+00,2.053889117926872387e+01
4.073673922909274658e+00,2.943797172045699018e+00,2.668828180579716758e+01
7.074345583602346998e+00,3.265072673407165116e+00,2.639143012252951692e+01
7.266674099812800769e+00,3.164154889857914821e+00,2.310303855804205497e+01
7.645362912942656131e+00,3.234500923725269317e+00,2.414077109699687185e+01
6.386901266980052227e+00,2.974042647728411648e+00,2.160502092435346455e+01
1.824013806378711022e+00,2.723282663884420085e+00,2.799896988103853701e+01
3.105666301621125669e+00,2.930402348025847648e+00,2.913536953858266898e+01
2.621344496454482975e+00,2.668474314012708515e+00,2.420657834735705549e+01
4.001218686530083168e+00,2.745956053384733586e+00,2.206589976930709085e+01
4.508514645179699798e+00,2.944561486055474742e+00,2.519598107120346242e+01
3.262265139396150815e+00,3.156053261844855129e+00,3.481553485495871314e+01
1.757077183902322703e+00,3.227625703609367402e+00,4.137348051994509035e+01
1.208178359534547663e+00,3.078900694425029894e+00,3.882144745503350691e+01
1.392806922735738251e+00,3.076941055416408499e+00,3.818566310624954241e+01
4.644765012453372144e+00,3.112678309588200687e+00,2.934712544889057995e+01
6.039673995680058027e+00,3.110070354888131661e+00,2.506245611937247375e+01
3.326583069278372218e+00,2.939668887992497925e+00,2.867335871510072920e+01
5.553011714294960655e+00,2.946901555898213232e+00,2.229711986957135750e+01
7.539292868631762623e+00,3.016617822595417664e+00,1.812337180109070545e+01
6.235572621661903625e+00,3.134876327213750091e+00,2.515938404978289000e+01
5.516975317737110807e+00,3.084173001791040036e+00,2.586307359657505955e+01
4.668973843879913765e+00,2.824350465425288004e+00,2.175966077558118883e+01
3.079603089433407437e+00,2.887862113740500281e+00,2.822816847944735841e+01
2.692148567666236225e+00,2.987506330155113687e+00,3.174061146752623586e+01
3.799456729856476311e+00,3.008557632640276314e+00,2.893382733564608245e+01
2.515639062652924807e+00,3.001166851535850721e+00,3.272590928694660306e+01
4.032290955829252788e+00,2.976970439055567574e+00,2.756827787098146842e+01
5.236044095745941540e+00,2.956531235478339958e+00,2.330579756232630828e+01
2.756986562430111309e+00,3.188694515017878484e+00,3.737153908599365337e+01
1.184572543290848046e+00,3.087494794917374552e+00,3.921372276533963230e+01
4.225726393195249564e+00,3.236901710722297043e+00,3.431225595572001907e+01
2.376322995366227708e+00,2.977227917146931357e+00,3.279386931155690377e+01
3.725993550937166887e+00,3.079275223537663031e+00,3.108785309846973632e+01
3.372853041057988221e+00,3.139658769569488861e+00,3.379709235707902337e+01
2.330857556180329304e+00,2.904883965114845257e+00,3.073193907949266901e+01
9.742663347821915565e+00,3.445190699047657290e+00,2.491856694629333902e+01
6.644703081282345991e+00,3.256956006930443515e+00,2.789947895248673504e+01
3.086050212843209462e+00,3.037821693677532409e+00,3.186594976490176734e+01
8.336429475261137867e+00,3.320658843014380412e+00,2.445228571931988881e+01
7.926122092068935920e+00,3.204173946549464524e+00,2.212832003419956095e+01
4.546557444240330703e+00,3.125449578796082761e+00,2.989574869710808258e+01
2.653453628340281423e+00,2.769661774138886923e+00,2.656442944545760554e+01
3.888240654991267142e+00,2.885137608389120256e+00,2.557891931793498941e+01
3.837101986365746065e+00,3.040310588242904455e+00,2.954457784083392013e+01
6.895862123768131902e+00,3.042954427431792119e+00,2.068650883285976860e+01
4.209053913051390872e+00,2.812806577685380116e+00,2.266178628015105190e+01
1.807637872775924581e+00,2.806554836585635204e+00,2.962227567933963712e+01
2.671353479072214210e+00,2.809085927741310940e+00,2.715991881710388256e+01
4.787234592130491961e+00,2.792412916996358518e+00,2.038112155183274155e+01
4.490246147827328116e+00,2.592160440430072210e+00,1.651248094826366852e+01
2.670515628830769206e+00,2.853942265018765578e+00,2.841228595647586630e+01
3.023313003214523231e+00,2.717818609634724769e+00,2.384428595590393130e+01
4.754507198122575495e+00,3.224968005116697345e+00,3.247202100534708080e+01
1.731250411860476346e+00,2.901921330715440117e+00,3.274618264155285630e+01
4.772178396360780006e+00,3.068944935113928185e+00,2.766807448398508384e+01
2.941638083780810042e+00,3.298096578727332417e+00,3.958991537040730435e+01
1.619686814717738343e+00,2.669895560760595199e+00,2.713301635705775539e+01
3.816625183978796354e+00,3.117012536027998326e+00,3.185470427091721035e+01
4.107565850630253479e+00,2.906689660481886595e+00,2.556521298975822987e+01
8.043332973031834143e+00,3.028432370021408637e+00,1.700630264362882826e+01
2.775603528781885210e+00,2.662627250414730362e+00,2.330752425925973270e+01
2.159035505063104932e+00,2.911007727084736096e+00,3.120296103471849136e+01
1.813538237829793287e+00,2.956902909814747904e+00,3.349024106296126035e+01
2.784551082773764286e+00,3.038191130349433777e+00,3.262899285366665225e+01
3.108478364540185002e+00,2.735194243378248569e+00,2.386803044490033798e+01
2.894918244594099743e+00,2.730283701784627759e+00,2.458690015463299972e+01
5.028443715705501305e+00,3.197443134423722189e+00,3.041573018922969140e+01
4.621243586452699503e+00,3.139166329482538043e+00,3.011507841822825782e+01
6.686334003133390880e+00,2.887931584436796317e+00,1.737853604599534663e+01
2.155968654090099079e+00,3.126624125586352054e+00,3.733125150956820448e+01
9.790199147199164509e-01,2.683362156285366229e+00,2.917959215314725796e+01
4.602632779774949334e+00,3.092084216044427514e+00,2.872609846898965813e+01
4.322802448125706576e+00,2.770570108651318808e+00,2.106062537734673867e+01
3.940506710819752012e+00,2.870444970986973487e+00,2.489754633272614726e+01
1.164992981528068849e+00,2.866975778735049829e+00,3.350634030655421469e+01
5.025428513208951564e+00,3.269060109428797212e+00,3.248974319200095806e+01
3.756997042696732070e+00,3.008130398786172943e+00,2.901133397847564410e+01
3.701849675578320120e+00,2.795103429589710586e+00,2.361467861405763458e+01
7.162195523929738572e-01,3.061949571628414191e+00,4.004125125686854147e+01
3.606100726004247026e+00,3.145779422759922728e+00,3.311392067467922828e+01
2.894468373375159165e-01,3.053687129743453799e+00,4.100625319401434155e+01
5.425581386637445824e+00,3.263380086663693280e+00,3.119876012821258016e+01
1.693951112743507181e+00,3.161961070821786013e+00,3.959326826920995046e+01
5.173107313903924975e+00,3.008438068936911236e+00,2.484578779566371409e+01
1.547809205845857683e+00,2.781294153606198805e+00,2.987039508023281442e+01
7.282283475765830794e+00,3.104388941351034159e+00,2.105807521409320415e+01
3.289457432311483132e+00,2.531118971387047889e+00,1.895993854296039416e+01
4.724002092591847557e+00,3.052865799661936386e+00,2.753952709768528706e+01
1.912146201594591588e+00,2.564709138696983803e+00,2.358591370698972511e+01
2.055913653090396309e+00,2.486272598347766483e+00,2.152482946736316904e+01
3.675232215905212652e+00,2.885894445936008523e+00,2.586788935886125884e+01
3.260728139977747464e+00,3.069043162663136037e+00,3.207238711651665852e+01
2.866555283686859745e+00,3.286907883662460339e+00,3.963713418101612262e+01
7.881537199795967119e+00,3.160662127652440034e+00,2.099260129576981981e+01
4.679262568862815108e+00,2.952977515474452197e+00,2.451480043172468015e+01
3.897186237514219886e+00,3.124743165159177938e+00,3.193506385066302045e+01
1.356119341200165307e+00,3.041889491637268073e+00,3.755494659798278434e+01
1.373825417416381978e+00,2.836571073711528612e+00,3.221467572402856661e+01
5.979404130537342432e-01,3.154684067152829119e+00,4.257215324149311897e+01
3.820710254440957687e+00,2.939847128772806517e+00,2.660892381554178243e+01
5.709877100610095013e+00,3.083383117757294567e+00,2.501808156954061602e+01
4.670554023207908578e+00,2.958632719626696606e+00,2.490389994508191762e+01
2.368208905769134009e+00,2.418054155092714819e+00,1.923362110501862787e+01
3.718542626023341846e+00,2.669929056268314227e+00,2.074133244824729871e+01
6.434940452649269282e+00,3.086678106074757455e+00,2.306176392444375267e+01
