# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
2.758593386455978731e-21,6.116492291033223237e-23,-1.895473146596089440e-20,5.202570153145254894e-22
6.155435260657737019e-21,3.718336730279323981e-22,-8.772184360259402794e-20,2.742386683329469872e-21
6.129035620624245020e-20,1.020868733416477906e-21,-3.720300182737116949e-19,8.651270239689204460e-21
7.030858859361037217e-20,3.036502010438335204e-21,-9.163445336529270966e-19,1.799740923965907581e-20
1.974184386142826234e-19,4.645876101783446191e-21,-1.708018733046220485e-18,2.720519208496488889e-20
1.374680086922210286e-19,6.913477145495544616e-21,-2.396428092968182145e-18,3.292549734904193205e-20
2.078554599892789214e-19,7.288553331168473321e-21,-2.704419220825614413e-18,3.515385722299441299e-20
1.503099850947181615e-19,7.437070619306421712e-21,-2.540348024677667166e-18,3.648290220384812086e-20
1.745156064017153855e-19,6.382209880515753929e-21,-1.919561538729875805e-18,3.973275396129925983e-20
3.857481311949505434e-19,6.213716361471831925e-21,-2.562982588224769043e-18,3.995907660279169377e-20
4.310481063302797707e-19,5.524226908354131989e-21,-2.489567362010920792e-18,3.855516176787265570e-20
4.897380750184698987e-19,5.282520161169538922e-21,-2.629280109325876366e-18,3.790615565545881596e-20
4.179538099023718715e-19,5.087784198443699965e-21,-2.294683630258362588e-18,3.889727098910652313e-20
3.666872911205407924e-19,4.493470471658458941e-21,-1.946446494820392382e-18,3.805690670892942324e-20
9.513999893790463290e-20,5.974537963658922425e-21,-1.548938916449285896e-18,3.858091434295288969e-20
2.765820871730897976e-20,6.024407753498510035e-21,-1.359453684670155392e-18,3.837244660636891986e-20
6.259877856731487293e-20,5.857719598094995666e-21,-1.415591404715705414e-18,3.882707421131852189e-20
1.042135485495109239e-19,4.585960184951389817e-21,-1.071311422529467604e-18,3.827702613124506953e-20
1.910895866625497233e-19,1.979751531292074238e-21,-8.044632364879838184e-19,3.784950453931215247e-20
2.299258878749885861e-19,2.289046347891404580e-21,-4.689600148742781546e-19,3.814230932662226993e-20
4.692464651595404844e-19,5.822951991056631000e-21,-8.583784411005985897e-20,3.780365511709040332e-20
2.229883470506920063e-19,6.160245913566957489e-21,6.645422253097583693e-19,3.851746291028611685e-20
1.927027875452793208e-19,6.282534780776731781e-21,8.104048207142334410e-19,3.849971469422263773e-20
4.227974934747155339e-19,7.313204440788964690e-21,6.311558165767627286e-19,3.849941707197497630e-20
2.266886678430462416e-19,6.825972104862734363e-21,9.468657958731438178e-19,3.826169261414502043e-20
1.314772566550931651e-19,6.257939917168269261e-21,9.902915869949923998e-19,3.767875445949568912e-20
2.677153875565478915e-19,5.854922603364758590e-21,4.503234436566065230e-19,3.766595244932768065e-20
