# Resampled Count, Count Uncertainty, Sky Count
5.302366532795812937e+00,1.175667431862586210e-01,-3.643339908545329564e+01
2.265600708787812501e+00,1.354635803315765441e-01,-3.201800998366061890e+01
6.984665782433252090e+00,1.183650932774470282e-01,-4.277560563198551336e+01
4.015817149068908520e+00,1.669757744953268008e-01,-5.064341831837307240e+01
7.095584317776125971e+00,1.706729761042310722e-01,-6.221226663379173516e+01
4.365447362073176407e+00,2.075521405675598841e-01,-7.216568989308758830e+01
5.781674462922088864e+00,2.075321158111700648e-01,-7.661810274542797572e+01
4.279682603153584175e+00,2.041609878825219326e-01,-7.028135316656440068e+01
4.364282491005118558e+00,1.650666564484593868e-01,-5.050096386919005909e+01
9.041800821706038604e+00,1.560980919856995164e-01,-6.229969365169431228e+01
1.098182594109828791e+01,1.448680041658409468e-01,-6.451555554161956252e+01
1.267027697314760459e+01,1.399204398191122578e-01,-6.867580992451048871e+01
1.108633131424075202e+01,1.321434042520363006e-01,-6.062066736196856453e+01
9.824384454102544240e+00,1.202416557975798661e-01,-5.248317233473533605e+01
3.784489094339677617e+00,1.480921948959389167e-01,-4.217043193652228439e+01
1.065232964321112696e+00,1.565757170572068813e-01,-3.635943319161080467e+01
1.424320239309633029e+00,1.521594128043003424e-01,-3.624153049391264858e+01
2.473647692841241863e+00,1.267733402545790922e-01,-2.988761670006505256e+01
4.495973699707080939e+00,6.834548449748788224e-02,-2.285435316707115305e+01
5.782287941558793776e+00,5.807891001301564160e-02,-1.454359076669295092e+01
1.072511320413144098e+01,1.291801217286730474e-01,-4.920317274384381712e+00
7.628269633978280950e+00,1.582950546604806608e-01,1.183230367113047521e+01
5.233401565785701592e+00,1.622383191251905443e-01,1.994500625162134000e+01
9.163662658268558303e+00,1.818113390289392006e-01,1.781031039786704540e+01
7.530284194349301075e+00,1.820704682890306458e-01,2.209508413414849315e+01
4.294814713923452487e+00,1.701596860009441936e-01,2.577470788544387048e+01
5.863213860229227414e+00,1.591039386901809405e-01,1.688313596184983112e+01
