# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.283941774979602712e+00,1.354445066339417247e-01,-3.207705257080913697e+01
7.041558029789715789e+00,1.186882821248620989e-01,-4.310997637314878261e+01
3.969871932055345276e+00,1.687576146250857334e-01,-5.113951484670688075e+01
7.182015653706505631e+00,1.717210783762686821e-01,-6.302502034022863597e+01
4.226415417069570246e+00,2.098954138753470755e-01,-7.290578455324717311e+01
5.850368273787204032e+00,2.072118221229258539e-01,-7.667698677923358730e+01
4.130908716799277514e+00,2.021206764559898006e-01,-6.877778881254620558e+01
4.630259292579163244e+00,1.603965094461544394e-01,-4.902789458876966222e+01
9.730545088603825832e+00,1.548858126627284393e-01,-6.416193641842858142e+01
1.127671563284430611e+01,1.430630994461193628e-01,-6.483783344980814434e+01
1.278776183796920130e+01,1.388384739776259147e-01,-6.873352363951505595e+01
1.067205749033268525e+01,1.299632237345052788e-01,-5.847717106654355490e+01
9.127316801638379218e+00,1.206785052753877596e-01,-5.036651682716610878e+01
2.333561229741289988e+00,1.550197970668967251e-01,-3.978965604038924653e+01
7.928864807942155313e-01,1.565023503611318867e-01,-3.551125110684304076e+01
1.707576767006133478e+00,1.482004541866729919e-01,-3.573163428717919032e+01
2.933817693308546914e+00,1.136804263576775692e-01,-2.737691393948249541e+01
5.142413747051145734e+00,5.304358426819491545e-02,-2.039673751289402048e+01
6.670390511701171476e+00,6.947141291002584262e-02,-1.128656858976277988e+01
1.171425649421839488e+01,1.546538868883957918e-01,-2.117722828716746830e-01
5.702822028356628437e+00,1.602922655495337967e-01,1.767170472540213311e+01
5.693078347559641372e+00,1.662648216326579054e-01,2.051386243680535415e+01
1.037583443872743061e+01,1.885715477843285803e-01,1.739499601104345672e+01
5.621295748483690069e+00,1.768679333960352651e-01,2.493838185378088212e+01
3.957234647274908035e+00,1.647105892140188765e-01,2.443013921519325038e+01
6.757938665009134205e+00,1.564857681969387682e-01,1.331414314073395211e+01
4.595436137687444855e+00,1.666041442391935634e-01,2.341838686267901082e+01
5.266759274829207804e+00,1.865627348218619752e-01,3.086298598754398981e+01
5.035334402363119466e+00,1.801937353157797850e-01,2.803207660172822457e+01
1.862895116958426245e+00,1.791136319442450942e-01,3.735007303031924408e+01
3.806158606408371448e+00,1.736571019967079743e-01,2.909023473292881334e+01
4.120434786908295344e+00,1.582349324761213594e-01,2.104642711993393434e+01
3.517456384301572481e+00,1.710152986837461531e-01,2.855944256500842116e+01
6.834031285726975824e+00,1.752066197417635751e-01,2.061430197488996541e+01
4.923573181008637611e+00,1.949967980373998877e-01,3.635805371619202475e+01
1.259134708618085341e+01,2.109831195885834010e-01,2.326353738569735441e+01
3.144970694613288043e+00,1.705593907079009652e-01,2.945962240005630406e+01
2.041929494980277759e+00,1.885454825888374375e-01,4.165697383251528407e+01
2.342257601629210484e+00,1.680828798899014764e-01,3.082027963358827805e+01
2.322091551567511125e+00,1.563045644786934252e-01,2.583833512800093146e+01
3.607936557002177747e+00,1.773274194804873305e-01,3.123468521170819301e+01
4.887238690601539481e+00,1.810887921403933065e-01,2.904001218435063691e+01
3.592008800936870028e+00,1.782186312978347453e-01,3.157681868513810031e+01
4.015061718101164523e+00,1.740284068458310962e-01,2.868190053986738874e+01
2.812898665213283689e+00,1.770693741370262253e-01,3.384912002046299051e+01
6.902760796725204706e+00,1.858744782736365675e-01,2.588574230498674567e+01
4.754555262331680687e+00,2.135057650968902321e-01,4.661170014470332745e+01
3.290359818806124270e+00,1.953718822025296009e-01,4.124360451430461438e+01
4.448647094073753472e+00,1.817818498237878388e-01,3.096573459735954614e+01
6.683293259094202021e+00,1.948493271990103526e-01,3.108215327739696221e+01
5.116233416209531093e+00,2.152960987452207375e-01,4.700290783332884814e+01
3.221177419115849982e+00,1.872496786126788826e-01,3.732916571495960056e+01
4.268639011431814900e+00,1.850691572458664780e-01,3.295748998266025609e+01
4.812291977169894430e+00,1.953552929394939686e-01,3.669386107460522339e+01
7.560223157606693611e+00,2.007092288589784612e-01,3.140685279167130872e+01
4.147094445963762865e+00,2.110025272309584143e-01,4.728549222340693348e+01
3.613445686870802032e+00,1.873287324343456406e-01,3.602656004420015279e+01
4.095336415617316206e+00,1.890696611052121723e-01,3.541276021702043408e+01
3.462573121869457538e+00,1.865407513524092731e-01,3.612402769104872391e+01
4.726621395547420335e+00,1.972709892350782979e-01,3.782348358270453303e+01
7.415156345054850107e+00,1.977489089277573997e-01,2.996741981981688241e+01
5.343396746984854673e+00,1.988114573997407097e-01,3.677364518797597981e+01
3.622870349924936839e+00,1.996928048098223774e-01,4.252062900746896901e+01
2.851016514921035139e+00,1.916594893083674034e-01,4.082620252784826675e+01
4.657476925292504788e+00,1.896649852479236897e-01,3.424659179943884624e+01
