# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.276694233703661710e+06,1.529458124562285775e+03,9.267962579867453314e+04
2.156481065631963778e+06,1.529858923840935176e+03,3.214380515347644687e+05
2.010699969522465253e+06,1.510446816633758090e+03,5.031580211192121496e+05
2.060338004361784551e+06,1.476745908473121062e+03,2.001192139767623157e+05
2.111689972746775486e+06,1.469846056775291572e+03,7.112223003238142701e+04
2.111427814000106417e+06,1.469891183426580255e+03,7.090632392289723794e+04
2.085120383997348370e+06,1.460244917575769477e+03,6.923770200557453791e+04
2.106074998959776480e+06,1.467794699296242015e+03,7.100501004117437697e+04
2.085990504280893132e+06,1.460266614665773659e+03,6.786161728338366083e+04
2.080528349896148080e+06,1.458099589293205327e+03,6.617901904537543305e+04
2.075238957566259895e+06,1.456839486173942305e+03,6.785741550047494820e+04
2.100009309577235486e+06,1.465922925578571039e+03,7.116432715820665180e+04
2.100286256929567084e+06,1.465909822426818891e+03,7.133983847824334225e+04
2.100951854544159956e+06,1.466491948139877650e+03,7.228327922142011812e+04
2.085774890646071173e+06,1.461838971435005533e+03,7.388615935750592325e+04
2.063192903858792037e+06,1.453960726310513337e+03,7.401318543977967056e+04
2.061016524210201111e+06,1.453062966970367825e+03,7.270544350309847505e+04
2.056431912430927623e+06,1.451051877225057979e+03,7.018017529435883625e+04
2.083215790644378867e+06,1.459851194228437862e+03,6.957749156437614874e+04
2.089096207037730142e+06,1.461857731854120857e+03,6.988528470006280986e+04
2.099590247081604321e+06,1.465404736232912683e+03,6.864816725297895027e+04
2.103877594168028329e+06,1.467442916471717581e+03,7.072097070707540843e+04
2.069704342034794390e+06,1.455401170765793722e+03,7.080216994919028366e+04
2.057477904610329308e+06,1.451263997177146621e+03,7.136712659983964113e+04
2.071566775835160632e+06,1.456682088967568689e+03,7.404208140251667646e+04
2.066025305579176173e+06,1.455359809844475421e+03,7.505088183856326214e+04
2.055799010793304769e+06,1.451095055626294197e+03,7.335046102418232476e+04
2.032710996869456954e+06,1.443701465222996603e+03,7.630864567328542762e+04
2.090278933374568122e+06,1.462964885197079184e+03,7.366133328931382857e+04
2.061497534563777735e+06,1.453604613453700949e+03,7.609653118693015131e+04
2.057688045782239409e+06,1.452082929061205050e+03,7.520173328231177584e+04
2.079743628509902395e+06,1.460232582085767490e+03,7.745700195622976753e+04
2.014707930162885459e+06,1.438396893054592510e+03,7.915343931924668141e+04
2.006640710138693918e+06,1.435336516816291123e+03,7.933599764487252105e+04
2.002031430662325351e+06,1.434226593386940067e+03,8.105950720143840590e+04
2.038912973068950232e+06,1.446777301146776608e+03,7.913867043455550447e+04
2.046871771515705157e+06,1.449152176067986602e+03,7.783240037307124294e+04
2.046769330106983194e+06,1.448826938259174540e+03,7.623792777255800320e+04
2.014721797311605653e+06,1.438043263109991358e+03,7.789745205047451600e+04
2.015506347849661019e+06,1.439254718268362467e+03,8.234491065754985902e+04
2.021764469928257167e+06,1.441732451233921893e+03,8.464661813879931287e+04
2.020837096185340779e+06,1.441525767051866524e+03,8.459342111520412436e+04
2.058499465584589634e+06,1.454354622631430402e+03,8.405326242272811942e+04
2.031006355212308466e+06,1.443967665276988328e+03,8.042398325441863562e+04
1.988952934972282033e+06,1.428852251043804017e+03,7.806078225142986048e+04
2.011789978255757596e+06,1.436718211596248921e+03,7.758110827649993007e+04
2.010730341416662559e+06,1.436061366220423906e+03,7.620886114787279803e+04
1.999190655752894003e+06,1.432569364733000157e+03,7.814172351656833780e+04
1.970486901065208251e+06,1.423324670255301498e+03,8.103204764657678606e+04
2.018153396190139931e+06,1.439373366298164910e+03,7.784158541227332898e+04
1.986382091427014675e+06,1.427746198757919728e+03,7.699414609876762552e+04
2.002121866394093260e+06,1.432235244993658625e+03,7.079144767544994829e+04
1.984450642182121752e+06,1.426931305229187501e+03,7.460424482857351541e+04
1.963720336661133915e+06,1.419145353960313059e+03,7.403798751378853922e+04
2.007279541656824294e+06,1.434466850905662795e+03,7.438100452194252284e+04
2.010929074902639491e+06,1.436530281270416708e+03,7.615992240955917805e+04
1.965897343409517780e+06,1.420525995432006994e+03,7.700514683945800061e+04
1.995754993714493467e+06,1.431546424780465031e+03,7.776269590149188298e+04
1.976869187484098366e+06,1.424325890492192229e+03,7.663923719567486842e+04
1.985946204449362122e+06,1.428449054726535223e+03,7.924712312869125162e+04
1.995511469817458885e+06,1.432153659021905696e+03,8.118553955670500000e+04
1.968617010648952564e+06,1.422695594184953052e+03,8.243588741508341627e+04
1.958028138910362730e+06,1.419498478110085671e+03,8.380057841496689070e+04
1.941181253647466656e+06,1.412379467085956094e+03,7.964453849482758960e+04
1.984166927728146082e+06,1.427318372941853795e+03,7.693362382421275834e+04
1.983075541428908706e+06,1.426791391357136263e+03,7.631547502491957857e+04
1.991647846629192121e+06,1.430111736374454949e+03,7.780846087625331711e+04
1.960313044024170609e+06,1.419125904063763301e+03,7.796932316601654748e+04
1.968301945148822851e+06,1.421974199217622754e+03,7.886936635520371783e+04
1.962736181433209451e+06,1.419722281864953175e+03,7.905373960162446019e+04
1.952160334322557785e+06,1.415787713797525612e+03,7.746713831000210484e+04
1.958219909695857670e+06,1.418384364594739964e+03,7.798455650522405631e+04
1.947097716908165254e+06,1.414108906316571847e+03,7.724285804122732952e+04
1.945144532936792821e+06,1.413570038733712181e+03,7.617983830940186454e+04
1.939281613257738994e+06,1.411232132664569235e+03,7.505568600351033092e+04
1.953314323191317497e+06,1.415352228556245564e+03,7.390665877412525879e+04
1.969074797250295756e+06,1.420855271619717541e+03,7.247544307874821243e+04
1.991122581069891807e+06,1.428662645628425935e+03,7.199600153281033272e+04
1.972207462675426621e+06,1.422042476600265672e+03,7.342241449099674355e+04
1.964208283719869098e+06,1.418952591172077518e+03,7.320255108260069392e+04
1.949254718583701877e+06,1.414231215990205328e+03,7.611762985152097826e+04
1.941378767033075448e+06,1.411814457430312586e+03,7.678082462817295163e+04
1.935056168040024117e+06,1.409234355892105214e+03,7.480605056560454250e+04
1.938402773285033880e+06,1.410398137435629451e+03,7.471081485991290538e+04
1.950785371825326700e+06,1.413949191104353986e+03,7.187787597185888444e+04
1.935737768029168481e+06,1.409996531861062749e+03,7.383318469637508679e+04
1.945848621816398110e+06,1.413468354278907555e+03,7.475333099208578642e+04
1.971550771640594816e+06,1.422902211117396291e+03,7.706304762001858035e+04
1.927458938542014221e+06,1.407604929279469388e+03,7.858170018941984745e+04
1.906338480316766538e+06,1.400166560988876881e+03,7.898259723869820300e+04
1.915461357204183238e+06,1.404382867220382423e+03,7.822128537865960971e+04
1.905734995818428928e+06,1.399939779938840729e+03,7.842571981248000520e+04
1.889319343725778395e+06,1.393052299049182238e+03,7.448690477655650466e+04
1.900864014446688816e+06,1.396880701684793394e+03,7.300196629374081385e+04
1.918881083633450791e+06,1.403246791198431538e+03,7.268401570818097389e+04
1.870249994774475228e+06,1.387084323619479392e+03,7.323997036557580577e+04
1.909675349703129614e+06,1.401312975295797742e+03,7.537514489838443114e+04
1.867309670825270703e+06,1.385251116334540711e+03,7.514543118228507228e+04
1.866337136707635829e+06,1.385138738093028451e+03,7.640878048175151343e+04
1.887045470140668796e+06,1.393250421269643539e+03,7.556470712803157221e+04
1.855482795518305153e+06,1.381767358241247166e+03,7.522842794971891271e+04
1.861899299605798675e+06,1.383871269138474645e+03,7.474811621938004100e+04
1.901039847220720723e+06,1.397550768100429423e+03,7.499546944531802728e+04
1.896070897724306444e+06,1.396330671218844827e+03,7.369358745893448940e+04
1.896094187811662210e+06,1.394961201698261902e+03,7.249894489490249543e+04
1.862119080873699393e+06,1.382589253591041142e+03,7.246243077761956374e+04
1.864992819788824301e+06,1.384796180123422346e+03,7.422081989156469353e+04
1.867523413493596483e+06,1.385947478992286960e+03,7.685664359731243167e+04
1.862519607235176256e+06,1.384589255969674923e+03,7.708848819386024843e+04
1.863743896585139446e+06,1.384899667504283343e+03,7.899272992269261158e+04
1.843787555510755396e+06,1.378302763039484034e+03,7.871875098788412288e+04
1.802917264269203413e+06,1.362496257043668720e+03,7.752454338335436478e+04
1.852013604932922637e+06,1.380858570114688291e+03,7.717575022940833878e+04
1.810134472626853734e+06,1.364177606564280723e+03,7.592140926218419918e+04
1.823637522920093499e+06,1.368560709694392244e+03,7.347180681003349309e+04
1.824080213881003438e+06,1.368518564702906133e+03,7.252183858411049005e+04
1.809359110522838309e+06,1.363251771526512812e+03,7.294720279384563037e+04
1.808931329800954321e+06,1.363730158020840236e+03,7.256466099930337805e+04
1.792926619179256959e+06,1.358373692839188607e+03,7.335676524001825601e+04
1.787596841185196768e+06,1.355324166561336142e+03,7.283870490059166332e+04
1.754740538370047696e+06,1.342193025032763444e+03,7.024362201163571444e+04
1.738667360987789230e+06,1.336254494448865216e+03,6.933115384701141738e+04
1.745793992306546541e+06,1.339267525241720250e+03,7.073130021854408551e+04
1.731872605590192135e+06,1.334196385480741355e+03,7.218105664416530635e+04
1.710053614738500211e+06,1.326784094433913424e+03,7.513214440327802731e+04
1.678999884487929521e+06,1.315295008949145085e+03,7.563562007662419637e+04
1.683937069384296890e+06,1.316816530442570865e+03,7.486959664323316247e+04
1.661675216388580855e+06,1.307664734493675724e+03,7.333299130818908452e+04
1.618322151419876609e+06,1.290441513997934180e+03,6.967876659257682331e+04
1.582792671841687523e+06,1.276396442240760280e+03,6.816298793532054697e+04
1.553676843163762242e+06,1.265252815682393930e+03,6.949288802351169579e+04
1.555398053808402503e+06,1.265387049515747321e+03,6.829795773205028672e+04
1.564918753993895138e+06,1.269228600050095565e+03,6.815886554078719928e+04
