# Resampled ADU, ADU Uncertainty, Sky ADU
nan,nan,nan
4.072463617026582383e-02,6.147567322211271446e+00,-1.662839204071171360e-03
2.173373068237403893e-02,6.147036053318055693e+00,2.922964328308897894e-02
1.160950997883484354e-02,6.147291278463180575e+00,1.334913936484150576e-01
9.272619618087294194e-03,6.147490224155751193e+00,1.789211120774716612e-01
4.952429381369415594e-03,6.147743677591629208e+00,2.447726639391070436e-01
3.077266289183065457e-03,6.146349416873922777e+00,3.509776696262432993e-02
2.934493034462090991e-02,6.147642874902920163e+00,7.946723618528109268e-02
1.780661806374218142e-02,6.146736575595530105e+00,7.071174323607156212e-03
4.138432293814409135e-02,6.147704806916334697e+00,1.225882992119831615e-02
3.535569337689756231e-02,6.147726709143964463e+00,5.204703324769277550e-02
3.032205610807810550e-02,6.148265932776190823e+00,1.726591343875319984e-01
4.478729371573528933e-02,6.147382336298562677e+00,-5.531244883330491136e-02
2.768137749370509076e-02,6.146721644828573083e+00,-5.917378273159551449e-02
4.278219424242549890e-02,6.148163310176291141e+00,8.357918959727622665e-02
6.138772180678618573e-02,6.148105404973180477e+00,-4.134304414869757749e-02
2.270799878451538328e-02,6.146813830642778420e+00,-4.794124567860134217e-02
2.846371076477003867e-02,6.146587223195067118e+00,-1.066216816969570574e-01
2.700253076213331854e-02,6.146985403993183716e+00,-1.435224827261334483e-02
4.307827882697548572e-02,6.148424815571182478e+00,1.203162122309322929e-01
4.637995692427834132e-02,6.147837029945307563e+00,3.871440367518038002e-03
2.051759777263513496e-02,6.147489841638389407e+00,1.085517028345483886e-01
4.622520846978923209e-02,6.148059983132298179e+00,4.318350654032092339e-02
1.481630083220605333e-02,6.147449848312278142e+00,1.375294015845584250e-01
8.248486454491012199e-02,6.149475290551297491e+00,4.104652065016486245e-02
1.723597383676821193e-02,6.147070596834576683e+00,5.521440804333807573e-02
4.052440002971872263e-02,6.147625987137513626e+00,3.024660096910995917e-03
1.839255309286200180e-02,6.146409964615068944e+00,-9.526222733451811253e-02
4.431117413092221929e-03,6.146364937634981374e+00,-7.653529674100351121e-02
1.302258768803065195e-02,6.147035444954584982e+00,7.153177480197958626e-02
1.319400785976510351e-02,6.147357549917457753e+00,1.261906190699059183e-01
8.324822184552700330e-03,6.146413730902172468e+00,1.020414783574219442e-02
9.169732179549366924e-02,6.148904745355568302e+00,-1.050586574613304042e-01
7.746280278880762760e-02,6.149344176647005611e+00,5.776972137954278913e-02
4.164858800560349017e-02,6.148683781051608399e+00,1.668112523792933122e-01
7.164961411204007983e-04,6.147738547514180141e+00,2.663247351212760794e-01
2.195169121079994234e-02,6.147594554282271417e+00,1.148155864727342518e-01
1.844390261502721132e-02,6.146791430377895438e+00,8.122887347068631289e-03
6.497017794419286327e-03,6.147210280175188224e+00,1.475620599490189977e-01
5.792316265617939580e-03,6.146310240631399857e+00,-1.696823773033278443e-02
1.719305477324654940e-02,6.147478756590718518e+00,1.233791435163412581e-01
4.815882661267101295e-02,6.147996646204942905e+00,2.299255989247636286e-02
6.577931800905439941e-02,6.148286041385669698e+00,-3.676784051219448429e-02
2.620476390714988543e-02,6.147970500862751209e+00,1.508947875208657974e-01
2.187553846989589990e-02,6.147480553284569993e+00,9.039404060729476498e-02
4.954134187717247617e-02,6.147685530926036535e+00,-3.481855467610208560e-02
1.272445713600855455e-01,6.149955507127571330e+00,-1.504454588329666997e-01
4.259154568094007665e-02,6.148645151220520688e+00,1.615217915802483195e-01
7.043385656784932614e-02,6.148471555776271025e+00,-3.831390880396415288e-02
3.306133709781415575e-02,6.146965388884265025e+00,-5.318328716669317585e-02
2.440351576443408957e-02,6.147172907862904268e+00,3.126099143262031643e-02
2.627405865019078260e-02,6.147374786288278159e+00,6.128261456466182339e-02
1.376976739890764002e-02,6.146250781050541789e+00,-5.794508626814441621e-02
4.599795831628955556e-02,6.147815310043323933e+00,-4.273077452587693359e-04
1.003905468457788087e-02,6.146789376930532178e+00,6.250270900422644216e-02
1.808756652495745881e-02,6.147510432178255435e+00,1.222848945683280841e-01
2.419836288786322495e-02,6.148006317360890982e+00,1.654550083718913378e-01
5.090025922257420364e-03,6.147352948022703600e+00,1.796897359742994360e-01
5.344693884966167374e-02,6.148574979299670673e+00,8.229076380391789347e-02
7.294431943030529886e-02,6.148204520277261054e+00,-9.029921606183820282e-02
6.131479355494937056e-02,6.148283649543847318e+00,-9.343287553512260799e-03
6.113222571906355707e-02,6.148193726817333449e+00,-2.965710235599296196e-02
4.069586863956470291e-02,6.148682318634151045e+00,1.757770161011911469e-01
7.007332624582750247e-02,6.148638163663741274e+00,-1.073461091805571165e-02
9.769512730747369200e-02,6.149587365206531153e+00,-3.183182294115113192e-02
2.188073338027893278e-02,6.148128230995397736e+00,1.990795034043114642e-01
5.079328651397229527e-02,6.148063823518820747e+00,1.336362653243817339e-02
3.033773982795590074e-02,6.147523589946521483e+00,5.364485349916543744e-02
4.846827484333844464e-04,6.146559870156728778e+00,8.390336812482267204e-02
3.056058141229324801e-02,6.147352247503397038e+00,2.404343916897169059e-02
3.909475224913682573e-02,6.146834765534141987e+00,-1.136973020365175946e-01
4.729228689071229147e-02,6.148024708160625629e+00,3.639457145005681182e-02
3.767036477602593580e-02,6.148600622290549822e+00,1.851162897088174109e-01
5.096212635288325382e-02,6.147892576174582402e+00,-8.187080401485804029e-03
1.962196249667559622e-02,6.147598273997362917e+00,1.307448220522891280e-01
2.258010714976160446e-02,6.147895872924796556e+00,1.592641712671008791e-01
5.534838595256275084e-02,6.148139736064823779e+00,-1.753445221406964771e-03
5.650063272291746402e-02,6.148275759467769497e+00,1.747214427444818835e-02
5.344788097430997788e-03,6.147807942454744712e+00,2.541551943971503968e-01
1.906517433430166344e-02,6.147340216410463576e+00,9.718878690443806534e-02
2.611126645205909258e-02,6.147359615396246646e+00,5.822018827813996850e-02
6.535256500253597278e-02,6.148084883739624473e+00,-6.085513190659117000e-02
3.804648660750131750e-02,6.147254726298505112e+00,-2.469217276643755413e-02
2.187746550279775007e-02,6.147991325122299067e+00,1.830850617389369328e-01
2.308852763985198148e-02,6.147306795572244908e+00,6.348066374525011824e-02
2.607212937934429153e-02,6.147979815403819437e+00,1.560663684519644212e-01
3.645249260900650188e-03,6.147481261785498141e+00,2.135012653748941946e-01
3.691429520657687341e-02,6.147782760095140908e+00,5.695484912639111469e-02
8.572396951849256541e-02,6.148959152554377638e+00,-5.098038289958841535e-02
5.018092331950855731e-03,6.146681140419745226e+00,5.092882819765515157e-02
2.584351895159012202e-02,6.148246797789110651e+00,1.968462222776951598e-01
5.610457419156864717e-02,6.147935318245068892e+00,-2.604375229653353024e-02
2.861998031181130914e-02,6.147354305531331775e+00,4.268560721837972444e-02
9.943249058943753882e-03,6.147451506868065074e+00,1.695235573565911369e-01
5.381322675582388658e-03,6.146720501893413235e+00,8.658390617464713224e-02
5.833324014919948064e-03,6.147496024426432726e+00,2.064274621490687356e-01
1.240745377242175214e-02,6.146401367271350225e+00,-7.176517520501541486e-03
2.912552190124037543e-02,6.148448774064678268e+00,2.165398223373419251e-01
6.747451561548553634e-02,6.149243203814088510e+00,1.013365262553877350e-01
1.620999125382471123e-02,6.147427116402323755e+00,1.224942798518369458e-01
2.482260739672666194e-02,6.147680016993594343e+00,1.153490421387778492e-01
7.232485094851275054e-02,6.148652366572546768e+00,-2.430797535697699213e-02
5.870127244928571159e-02,6.148102345015587389e+00,-2.635080553810414949e-02
7.516420844808868740e-02,6.148570264669915630e+00,-5.144362827032068070e-02
6.485784328278512700e-02,6.148472138995451530e+00,-3.128327408108417911e-03
8.555560504402452693e-02,6.149035210314787392e+00,-3.197536715712051558e-02
3.464074167396179876e-02,6.147625171702464364e+00,5.035071460485903566e-02
2.898332175552421897e-02,6.146472328681467090e+00,-1.118058441015583881e-01
3.430263319919214099e-02,6.147456768745192868e+00,2.315327483048124774e-02
8.230926413087835680e-02,6.149520628108911424e+00,6.504014275547892465e-02
4.542951785092690098e-02,6.149235634108293880e+00,2.389605069589591235e-01
3.293265248697403030e-02,6.148088508454615742e+00,1.296215239918174222e-01
2.882185435102675372e-02,6.147715426261875393e+00,9.701370098461330194e-02
2.099681575915364473e-02,6.148064844723774236e+00,2.011807265493966157e-01
1.004893820201204074e-01,6.149291164703353019e+00,-7.644258136548091886e-02
1.961920334647254127e-01,6.152971164496466194e+00,-7.907786285375001389e-02
5.900776128554872935e-02,6.149091633412943736e+00,1.337736408973366486e-01
1.081326913774363768e-01,6.150573516086879522e+00,7.099585926315581108e-02
2.493394266109573432e-02,6.148098874346101361e+00,1.833156817993810694e-01
2.042462210853406360e-02,6.148053272804040681e+00,1.978876829638618884e-01
1.225867031772567665e-02,6.147371809666547726e+00,1.363112482260590286e-01
9.785336241149782122e-02,6.148892077606356921e+00,-1.381131627589609057e-01
7.082590509329513007e-02,6.148617839690734499e+00,-1.461411364077310621e-02
7.731901306838183385e-02,6.149003735838442175e+00,1.309819088616980334e-02
4.521407410050161391e-02,6.146887656476969219e+00,-1.413519488534367430e-01
1.163133877603762523e-01,6.150593406371177352e+00,1.715691680412334899e-02
8.191015626029458929e-02,6.149513846590160426e+00,6.798051903378742045e-02
5.369253285938994924e-02,6.149035158950147739e+00,1.604664460287353600e-01
9.105987557926911724e-02,6.150827628464416996e+00,2.139090440127017489e-01
1.077559654113047632e-01,6.149804200405672994e+00,-4.456191956586474934e-02
1.373689529582997337e-01,6.151227647901313489e+00,1.524781246121001627e-03
8.199356800024211467e-02,6.149841873797946334e+00,1.206317613118717685e-01
5.803059844751174562e-03,6.147758463638400173e+00,2.517799748376923219e-01
5.358696571757440991e-02,6.148922541340438030e+00,1.435089974068678442e-01
1.907465339668578883e-02,6.147905598287079165e+00,1.914994045757238139e-01
6.523736918965111764e-02,6.148588968473733374e+00,1.196632695012492253e-02
2.058979564273700699e-02,6.148868205804044251e+00,3.289920371390652742e-01
1.629020158393716111e-01,6.152241303578392717e+00,1.648817142494727944e-03
1.396782720158883662e-01,6.151205256230747764e+00,-1.127964162314403461e-02
1.600536662891388351e-01,6.152428015788540705e+00,5.599987768946156075e-02
1.737033906943840633e-01,6.153206538519137681e+00,9.564134356086451128e-02
1.633273617377650200e-01,6.152464574127526120e+00,3.770676652858978573e-02
8.604703037594872705e-02,6.149545875115236093e+00,3.966446188389242261e-02
1.244923930852620125e-01,6.150879294044286461e+00,2.815616427395863444e-02
1.914442039612184732e-01,6.153065085110411836e+00,-4.181483027653775525e-02
1.743808513043215436e-01,6.153484839255731309e+00,1.290373270597662270e-01
1.381742405234102633e-01,6.150698387795747735e+00,-9.590591205924318963e-02
1.608642262384630539e-01,6.150763944234103775e+00,-2.111475952716047877e-01
9.344642230690405893e-02,6.150247930927921658e+00,1.126378589445165834e-01
1.191277692342128242e-01,6.151004339108164132e+00,8.441401833317327408e-02
6.933699361242555426e-02,6.149922359187922183e+00,2.102138270076708837e-01
1.443294739816824990e-01,6.152704290939379206e+00,1.965440646093845056e-01
1.278543820260814867e-01,6.151448938952825074e+00,1.022847837266491755e-01
1.526949685369627663e-01,6.151907544195847954e+00,1.647062010196851875e-02
1.344939231306919447e-01,6.151716500597533610e+00,9.067554368523436659e-02
1.041571222788046647e-01,6.149954879390810092e+00,-5.366645355668070265e-03
1.282382763813680604e-01,6.150993509541974547e+00,2.254450951461559396e-02
1.073971197830134033e-01,6.150109997532500650e+00,1.410088972401212642e-02
1.248377643949439841e-01,6.150942820177832893e+00,2.565454878512496775e-02
7.805457556863716617e-02,6.149408749259247742e+00,6.918746342459740351e-02
7.028038865084837439e-02,6.149794989075139995e+00,1.814970244605993155e-01
1.731873874270104807e-01,6.153023450482431933e+00,6.864875083331188621e-02
2.106717280636955514e-01,6.154280653073150198e+00,3.981983126227540276e-02
1.863938618981932083e-01,6.152980490768534594e+00,-1.823920395117135246e-02
1.816699923715964782e-01,6.152464682388340655e+00,-7.043297707428901322e-02
1.193599051200367328e-01,6.151213498987559980e+00,1.213350488778179720e-01
1.335250768133034449e-01,6.152333888201012790e+00,2.107367128045717353e-01
1.061351717872199840e-01,6.150958879400346468e+00,1.465455173599679306e-01
1.562375302506019692e-01,6.152794021395472157e+00,1.351075704426216717e-01
1.850217988976783912e-01,6.153438465169855931e+00,6.283508875612638100e-02
1.770754342384653623e-01,6.153348013619132750e+00,1.052517120767500480e-01
1.920287276315683356e-01,6.153317503420078438e+00,1.407364576877855088e-03
3.431794324547101649e-01,6.158366178794008938e+00,-1.249183432370032376e-01
2.207746890061694778e-01,6.155057268436640250e+00,1.136086621229360910e-01
1.449619669884977535e-01,6.151302274187758101e+00,-2.839643858231333598e-02
1.734087896726768108e-01,6.152359802435908520e+00,-3.673100846511542089e-02
