# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
6.259993770383755596e+00,2.600645519562053698e-01,-4.618727307619941058e+01
1.251572090147145211e+01,2.299442460559640022e-01,-4.526534508215902974e+01
5.780753502061368287e+00,3.152296108052445311e-01,-6.249644299287651705e+01
5.125725884263022003e+00,3.130873057542450377e-01,-6.105450791785214903e+01
2.510038437717116100e+00,3.718498738271308057e-01,-7.961278881567194787e+01
6.159008126222824231e+00,3.717628751172054047e-01,-8.220029239861761994e+01
1.047808436466286253e+01,3.300507292273600624e-01,-7.330965103291687512e+01
1.648170249844945756e+00,2.577519097388005775e-01,-3.877667874521817026e+01
4.460702931101707236e+00,2.553647990015524005e-01,-4.179063047767122896e+01
1.437731701236570281e+01,2.508154562615427796e-01,-5.387768158040881161e+01
5.268502029459014580e+00,2.987709667165934779e-01,-5.711240940277446754e+01
1.050051028380871898e+01,2.882226838103337796e-01,-6.060125704771170518e+01
1.843373416735665771e+01,2.509639474730786524e-01,-5.942026639640730679e+01
8.245762787238339442e+00,2.808730840679881102e-01,-5.457993311764877831e+01
6.948775310977312714e+00,2.725503347591213266e-01,-5.018747050764066842e+01
1.321952352062689151e+01,2.162506201597821920e-01,-4.380588274183444497e+01
1.364360565852777896e+01,1.480482983644054173e-01,-3.223955147606810101e+01
1.521789317896802984e+01,9.298432955285602930e-02,-2.219327539688776341e+01
1.429203905620509651e+01,1.444452940981435229e-01,-5.512412008583954304e+00
2.389285180986830781e+01,2.003255432781252676e-01,-2.445777188717801032e+00
2.118060246615043596e+01,2.105058963066142319e-01,3.851642170211121208e+00
1.885996168067208956e+01,2.225424635872653711e-01,6.896795178785212421e+00
2.076305403565503482e+01,2.409976460794203690e-01,7.905515002217764042e+00
1.401750111682986955e+01,2.633883604013608215e-01,2.209243031230624865e+01
7.881413977988636077e+00,2.533877313005925558e-01,2.643190643264210138e+01
1.179911790830231766e+01,2.412136591728932522e-01,1.801396986354886209e+01
8.980089221023975554e+00,2.578876559278761582e-01,2.619941842851425662e+01
9.171679046461441942e+00,2.710277772207708158e-01,2.966214214782303316e+01
9.872309969085321768e+00,2.466450524314197090e-01,2.224725063394201996e+01
1.039643841773701460e+01,2.327691420652121534e-01,1.779045738526723142e+01
8.956993191833173995e+00,2.458196543547309099e-01,2.282515687587742903e+01
7.312281047680571078e+00,2.603181143498598527e-01,2.877036017305659854e+01
9.396769283605236112e+00,2.524470748146336319e-01,2.415862217011132884e+01
6.523443778221624356e+00,2.734317073538505283e-01,3.431118149374646009e+01
1.463146222108884675e+00,3.031204510190889656e-01,4.925895179354970566e+01
7.540825338393023713e+00,2.858402768328183741e-01,3.674870454919940244e+01
9.225546358573327055e+00,2.498930440811558407e-01,2.403518536180788701e+01
1.150260261764447378e+01,2.768922950386609183e-01,2.929328557513944631e+01
1.132815767008017716e+01,2.876090576285232348e-01,3.151934232466267360e+01
4.599462189729178085e+00,2.902136763243173823e-01,4.104266083794662023e+01
6.856147294129644187e+00,2.613744258433847167e-01,2.941407667148194705e+01
1.084164578565910908e+01,2.329208650013678272e-01,1.715917511523987571e+01
1.568122029855761568e+01,2.652597417353269038e-01,2.008498596932032143e+01
9.692994863207115230e+00,2.901051775467545224e-01,3.428132867439586562e+01
6.663277059633569976e+00,2.756645915863600305e-01,3.369751369942137842e+01
6.708176411881828116e+00,2.633019855400788867e-01,2.979121557671336973e+01
1.347905193877379837e+01,2.988085309672837697e-01,3.322165805780738879e+01
4.882397388682937489e+00,3.089503817971604449e-01,4.719659752716486167e+01
1.163921363604373305e+01,2.797835990534681683e-01,2.969484928039165084e+01
1.128625795199576487e+01,3.017435093654139977e-01,3.728768229592365202e+01
2.173857532615955535e+01,2.929635726514796534e-01,2.169160819755152758e+01
6.186756187133852336e+00,2.935910011029297939e-01,4.064320107754667077e+01
9.438391823100863220e+00,3.164111460005411547e-01,4.336457667922078940e+01
1.260770247787209719e+01,2.897619562080290256e-01,3.067756786653502488e+01
8.346895230693098355e+00,2.582356330290936919e-01,2.721885158927287307e+01
1.125305206111297807e+01,2.948590445208076893e-01,3.502099694116380135e+01
9.435758083247399952e+00,2.678465468787509796e-01,2.817027193068139823e+01
1.883660898255669380e+01,2.551457715627058476e-01,1.379748880710492642e+01
7.347440193072602987e+00,2.731928269216208349e-01,3.290535826754165782e+01
5.987820460142799561e+00,3.062744519777518271e-01,4.503286601766371433e+01
1.371220235069945304e+01,3.050757227218825474e-01,3.457198800724841448e+01
6.221765974695548707e+00,3.007556985660986837e-01,4.310485844328393767e+01
1.759372509854300404e+01,2.826654613505588109e-01,2.358996754388393313e+01
7.128998623189979789e+00,3.094448198386080540e-01,4.394644851325129764e+01
1.670136715041329722e+01,2.761003395191487519e-01,2.255503773631804521e+01
9.965000002387846223e+00,2.527353612404093508e-01,2.352798623381438148e+01
1.214165328200768990e+01,2.772866398391630183e-01,2.742144754277604690e+01
3.676414904855276777e+00,2.820407103192962284e-01,3.994476292806127304e+01
5.579252771636874719e+00,2.813448131004077091e-01,3.763776294551339419e+01
6.577245602338521735e+00,2.466694266464229401e-01,2.587949164193448226e+01
7.883663765282112657e+00,2.610088943534556449e-01,2.813983235580796816e+01
4.572999171115533557e+00,2.876750958837314132e-01,4.060358657000161031e+01
6.171354477285586171e+00,2.856945602475339241e-01,3.805289738589308257e+01
6.642229854851639637e+00,2.586224170183701321e-01,2.949053878653494110e+01
1.447219456305066920e+01,2.855848060759314522e-01,2.847000808750457779e+01
2.148422731387960027e+01,2.942163720562525620e-01,2.319882562037972562e+01
