# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.349686178134872350e+00,1.352056336782896939e-01,-3.222668270959557191e+01
6.969699461614803582e+00,1.198350657389539997e-01,-4.328888870336910344e+01
4.075786902647794641e+00,1.688225167752849531e-01,-5.151471577218683251e+01
7.056915958729661931e+00,1.733125380842197027e-01,-6.343100906641842585e+01
4.312521089180483713e+00,2.097645717698103374e-01,-7.311131407829942930e+01
5.745515589816170277e+00,2.070081606491899484e-01,-7.625003989703964180e+01
4.149256180954283835e+00,1.992075500509318808e-01,-6.734089474997779234e+01
5.031625437474740004e+00,1.600054354340741392e-01,-5.023537519176176147e+01
9.860522946416086398e+00,1.538452043246378020e-01,-6.419866890420280470e+01
1.144023344899471972e+01,1.426943457901084789e-01,-6.528817425177341249e+01
1.256418412242398119e+01,1.379587034705216098e-01,-6.766744785929115835e+01
1.054819520986581516e+01,1.285427048281397588e-01,-5.760132587588006459e+01
8.264303696600533655e+00,1.251065674731742516e-01,-4.904262448810273156e+01
2.108208838433561549e+00,1.552962478092317355e-01,-3.918018533570968742e+01
9.157779811820084825e-01,1.556571150450722363e-01,-3.565338023498826914e+01
1.870310398587380352e+00,1.436487711154565416e-01,-3.449021110702255299e+01
3.294915116075464834e+00,1.032011076469020322e-01,-2.633150936238812534e+01
5.302943548686379849e+00,5.430683234089898892e-02,-1.892831685431042033e+01
7.771975209003999296e+00,8.569304011356447537e-02,-9.556989143726358549e+00
1.051440389674664644e+01,1.557231180823770988e-01,3.324978155113650580e+00
5.554066583713111349e+00,1.609089537598462627e-01,1.839209509247188024e+01
6.878336701021290800e+00,1.715741983719930031e-01,1.959055749697654392e+01
9.329671509431561205e+00,1.861814341738509127e-01,1.912297743345228085e+01
5.096760087726584842e+00,1.742152645012457202e-01,2.526909357614798424e+01
4.767337502865077070e+00,1.623275812731205525e-01,2.122241856161635454e+01
6.151402037373723708e+00,1.582938345306066363e-01,1.567037037090527285e+01
4.765554415353268958e+00,1.724766946170966375e-01,2.571716754840040409e+01
5.376206134471660292e+00,1.847447324112717892e-01,2.951077240126407375e+01
