# ADU, ADU Uncertainty, Sky ADU
1.965867133661054075e+06,1.421447717248282515e+03,7.573111374503621482e+04
1.955069688635782106e+06,1.416855144674131225e+03,7.303078708949089923e+04
1.932590080489909975e+06,1.407754148140935285e+03,6.956645803400194563e+04
1.952675077732236590e+06,1.415065950853989762e+03,6.884929450269886001e+04
2.012407569173022872e+06,1.436022163778065760e+03,7.023514304362880648e+04
1.946367086151818512e+06,1.413325298530341115e+03,7.114107127554896579e+04
1.937852491234435933e+06,1.410763227228455889e+03,7.398754764672215970e+04
1.902491868037586333e+06,1.398440583606811060e+03,7.600531135165490559e+04
1.904113656922629336e+06,1.399486215618562028e+03,7.712326291014339949e+04
1.937215260869747028e+06,1.410988287693235179e+03,7.669496197628274967e+04
1.856296260616522282e+06,1.381587263760197402e+03,7.516153210421683616e+04
1.922921638311009156e+06,1.405147961818924614e+03,7.190580141476306017e+04
1.946000711976515362e+06,1.412665884268785931e+03,7.022727109001677309e+04
1.896813197399416473e+06,1.395863114173663917e+03,7.221883453932085831e+04
1.900040329335535411e+06,1.397198282936730038e+03,7.435275408475575387e+04
1.892755286203507101e+06,1.394653861929863751e+03,7.468190066232765093e+04
1.910349922193132108e+06,1.401921428415949322e+03,7.756509197361634870e+04
1.943760841253157705e+06,1.412810066460686130e+03,7.443330750305985566e+04
1.947038879400835373e+06,1.414550298818420060e+03,7.623190201720400364e+04
1.935110730837207520e+06,1.409960344538123991e+03,7.456008254121571372e+04
1.941565282015795587e+06,1.413426979019090822e+03,7.935425474423264677e+04
1.882414470617976971e+06,1.392864576802998272e+03,8.124973412540860591e+04
1.910469063082905253e+06,1.402666101731131448e+03,8.000738854955698480e+04
1.870389198704239214e+06,1.387677713388365419e+03,7.876117500661101076e+04
1.895939906267756131e+06,1.396709873753134389e+03,7.791325890239558066e+04
1.894994902428791858e+06,1.395642475524611882e+03,7.550047599910205463e+04
1.928476256431262475e+06,1.408218108826033813e+03,7.737594034130928048e+04
1.937231569108245196e+06,1.411915123669265085e+03,7.984431862512858061e+04
1.929529567889231024e+06,1.408519721695956150e+03,7.573942393682205875e+04
1.887948350575745106e+06,1.394350431835458721e+03,7.997573128101152543e+04
1.847721816037231125e+06,1.379531214767040183e+03,7.970917650477032294e+04
1.861576551699898904e+06,1.383620480636100410e+03,7.447927635927064694e+04
1.910325720781948883e+06,1.400923106979895010e+03,7.375483550786275009e+04
1.909925141907256097e+06,1.400285215740567764e+03,7.214283771722257370e+04
1.917358466685879044e+06,1.403344803638792655e+03,7.285634858454829373e+04
1.877845076556409942e+06,1.390287360412660973e+03,7.702945893610993517e+04
1.871331828471642686e+06,1.387352213931302003e+03,7.534254993075561651e+04
1.837275179614650318e+06,1.374750163925394190e+03,7.454693568674000562e+04
1.855306358120922931e+06,1.382101933086552663e+03,7.809597256374373683e+04
1.838354914123199182e+06,1.375541062833091473e+03,7.634673022304663027e+04
1.876857042318332475e+06,1.389680646023255122e+03,7.708343230736102851e+04
1.794588668033910915e+06,1.359835065172265331e+03,7.781400809182926605e+04
1.886446701765979175e+06,1.392255063586032293e+03,7.388060023612147779e+04
1.870902325453679310e+06,1.385839835416660435e+03,6.964890136836898455e+04
1.873960665669878479e+06,1.386870646205150024e+03,6.933143942799908109e+04
1.818490611635907087e+06,1.366923161051000307e+03,7.050153063028334873e+04
1.870971280265809735e+06,1.386773111689680491e+03,7.475282712789127254e+04
1.836362513775570551e+06,1.374963967416231071e+03,7.726492421471307171e+04
1.818276026600428391e+06,1.367325952602766620e+03,7.353643617777994950e+04
1.817288565077794483e+06,1.367306686712197006e+03,7.503337198913178872e+04
1.890672421617649030e+06,1.393651034875603500e+03,7.265462134512072953e+04
1.874018854380880017e+06,1.386773086502013484e+03,6.884600382384539989e+04
1.839983344805344474e+06,1.375508064784208955e+03,7.368079706317128148e+04
1.929965319368210854e+06,1.407469064435842938e+03,7.159582640981776058e+04
1.847898724166511558e+06,1.378466409280260677e+03,7.279019038538113819e+04
1.790125849805998849e+06,1.357438713190048929e+03,7.351969192872612621e+04
1.820168402192448732e+06,1.368074146952715864e+03,7.157757763527448697e+04
1.836396909265783615e+06,1.373459733070927541e+03,7.020389283354832151e+04
1.811108405960919801e+06,1.363510575651261433e+03,6.728501327097533795e+04
1.808676968177506700e+06,1.363300480632648032e+03,7.028478367029053334e+04
1.771316204765375936e+06,1.349676396587717136e+03,7.007944509645723156e+04
1.769895949657981517e+06,1.349837844372068957e+03,7.302176406841842982e+04
1.797240058293603826e+06,1.359035155561711917e+03,6.996666308336086513e+04
1.809986402203593170e+06,1.363953026503289038e+03,7.095710380674719636e+04
1.778363276271597017e+06,1.351910234234591144e+03,6.841920002489462786e+04
1.824046564745985437e+06,1.368573900510978092e+03,6.765831335354654584e+04
1.830749920705093071e+06,1.371520092748535262e+03,7.076793845718422381e+04
1.794810744220132008e+06,1.358007741796009668e+03,6.939311011950284592e+04
1.750728389007045189e+06,1.341499638894480540e+03,6.889329866600154492e+04
1.803650729688275605e+06,1.360778582289928863e+03,6.728741079422966868e+04
1.808303685661925236e+06,1.362013063341252291e+03,6.625759262641030364e+04
1.794579393667520024e+06,1.357537422939278258e+03,6.413611935951138003e+04
1.813029610488806618e+06,1.364371091780666802e+03,6.427969549579801242e+04
1.778034551149593201e+06,1.351937873230500827e+03,6.654710632975102635e+04
1.743619063695912017e+06,1.337853105277813711e+03,6.478566420323472266e+04
1.805526321220905986e+06,1.362288459631935893e+03,6.837504085326682252e+04
1.773417023822761141e+06,1.349375332348837219e+03,6.743979017476929585e+04
1.713361071289407322e+06,1.327159777118919919e+03,6.528198629940608225e+04
1.781314906270127511e+06,1.352411469376020705e+03,6.439516486739549873e+04
1.797755654690990457e+06,1.357776064324274103e+03,6.481086748989835905e+04
1.793858859378957655e+06,1.356463869939051847e+03,6.184405131760215590e+04
1.723460301396314753e+06,1.329561244577272646e+03,5.933115028946066013e+04
1.758513159972891212e+06,1.343599060502706834e+03,6.209261876171786571e+04
1.737604942840438569e+06,1.333645687019419711e+03,5.756819803447384038e+04
1.800143760535446228e+06,1.359379842701575399e+03,6.336169254543739225e+04
1.803604417916009203e+06,1.360062474473642624e+03,6.186513396065025881e+04
1.752203346001203870e+06,1.341253022524829930e+03,6.549462308217751706e+04
1.773276515961352037e+06,1.349682556432539059e+03,6.790415406533438363e+04
