# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
4.021777686625069026e-13,4.598260566238710369e-14,-3.205873622045778925e-15,5.564353771949219185e-15
2.534590395342517592e-13,4.674220637254413654e-14,3.610806013414211222e-15,5.669313880893808504e-15
7.856163400283210318e-14,4.298631667567052520e-14,5.821422144580048562e-15,5.651601300830897266e-15
2.663408286666732868e-14,3.983708903102722234e-14,4.990752378430788083e-15,5.527999766888094339e-15
1.919302317976599341e-13,4.118610442502377866e-14,1.278927990880675858e-15,5.321816719870813736e-15
1.328424502842228916e-13,3.498025621326960367e-14,-2.824778310333237358e-15,5.057841168612014176e-15
1.775480090134175365e-13,3.717134996752397628e-14,1.239193365329707287e-15,4.759285223317894680e-15
2.287964366608925253e-13,3.771349577884742644e-14,3.126745256451699941e-15,4.446066166861546849e-15
3.769396913541353050e-13,3.775709780094494821e-14,4.868813364043984115e-16,4.134097276904899073e-15
4.798055878232635695e-16,2.862618863540897949e-14,5.597025365147275007e-15,3.835215972876131604e-15
1.736338043163710101e-14,2.585850408945341965e-14,3.342992142763363110e-15,3.557419351332222231e-15
2.969466583651994026e-14,2.570549979097804172e-14,4.819379211389831683e-15,3.305422872064118312e-15
2.919885174308433218e-13,2.811569979908913912e-14,-2.311260221687065755e-17,3.081274789342108937e-15
3.309939960708408692e-13,2.820031987324312699e-14,9.134356220489343709e-16,2.884899520610126409e-15
1.132852124917201820e-13,2.138051471701081191e-14,4.255520629989887946e-16,2.714799464299060359e-15
3.020901621021706763e-13,2.453598315283719603e-14,-8.302113272833340202e-16,2.568465229149402618e-15
2.121660525341524840e-13,2.093702175743186968e-14,-1.754836572029812828e-15,2.442875343788760107e-15
1.455496579025678469e-13,2.014176565473937131e-14,1.157440012077592721e-15,2.334795994160628258e-15
1.103393943974957469e-13,1.930180851227294634e-14,2.352532886147457215e-15,2.241049603938274151e-15
1.626382983805518701e-13,1.922455091063163324e-14,9.565510738819116805e-16,2.158714143856721610e-15
1.453168341205947522e-13,1.868519949258275435e-14,1.421771587940042920e-15,2.085192510175904750e-15
1.706899588121537566e-13,1.824375184319007101e-14,5.285537323367495728e-16,2.018327892868795812e-15
1.371238575388939634e-13,1.694082017754652485e-14,2.729597525829889041e-16,1.956393550903330122e-15
9.095980083919233509e-14,1.593672934947124215e-14,1.380848922988855862e-15,1.898055330271925456e-15
2.420793148491029428e-13,1.862508519951543426e-14,3.854113374480279117e-16,1.842382949260560080e-15
1.900534894016502133e-13,1.665694690339955740e-14,-3.527145246646769131e-16,1.788755898176020515e-15
1.352278355791258759e-13,1.617900868457711812e-14,1.843550973646367118e-15,1.736830903132201115e-15
1.740520399372352343e-13,1.646000372225464272e-14,1.239912529031212351e-15,1.686472468145106505e-15
1.589489733010283330e-13,1.552086301825613361e-14,8.699455253300267467e-16,1.637682030476111919e-15
3.320138446875621839e-13,1.803044149780866362e-14,-8.187599556535228677e-16,1.590568550257215980e-15
1.425144797750535152e-13,1.390906576008160312e-14,-2.377319236903660286e-16,1.545282047261798088e-15
2.135419815947855800e-13,1.543558906912470419e-14,2.501453022550457613e-16,1.501983999148757229e-15
2.072100072969070121e-13,1.527229161466977890e-14,6.410750770490448581e-16,1.460829123993612351e-15
2.271791720082015482e-13,1.541552374313751143e-14,7.089504788754213160e-16,1.421909924827204041e-15
