# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.344314010451593155e+00,1.352251526869227560e-01,-3.221445599283407546e+01
6.975532498684446914e+00,1.197419768909327997e-01,-4.327436569962860347e+01
4.067248819142912808e+00,1.688172848427739459e-01,-5.148446984174906760e+01
7.066929425883555993e+00,1.731851514465842790e-01,-6.339851214645946698e+01
4.305678126324490762e+00,2.097749700124143246e-01,-7.309498030061367047e+01
5.753788207259774801e+00,2.070242290357720283e-01,-7.628372495011950605e+01
4.147819168223580988e+00,1.994357123568968604e-01,-6.745343537374674270e+01
5.000420857098438532e+00,1.600358398431112050e-01,-5.014149850084480420e+01
9.850492674754969258e+00,1.539255071123553087e-01,-6.419583429208267944e+01
1.142770933143031442e+01,1.427225892821566700e-01,-6.525368185650638964e+01
1.258117917193358082e+01,1.380255783971611749e-01,-6.774848460582786913e+01
1.055753888911735316e+01,1.286498631412419935e-01,-5.766739616382177758e+01
8.328906903688867658e+00,1.247750927626586209e-01,-4.914172807116989361e+01
2.124947833160108157e+00,1.552757132700096632e-01,-3.922545633040565605e+01
9.067208229071436199e-01,1.557194092640613037e-01,-3.564290525498543616e+01
1.858411071279372884e+00,1.439815970110040200e-01,-3.458098583259645409e+01
3.268720249494575292e+00,1.039613023704865635e-01,-2.640734549882522941e+01
5.291391326662066241e+00,5.421592509464931431e-02,-1.903398895569127802e+01
7.693340051786205613e+00,8.453508084942262801e-02,-9.680452870113208874e+00
1.059935838003534769e+01,1.556474121300024105e-01,3.074561723450924600e+00
5.564512845838586408e+00,1.608656471991347925e-01,1.834150610982917939e+01
6.795789877510737931e+00,1.712044290441726846e-01,1.965486068428745980e+01
9.401924386269774558e+00,1.863465065344663274e-01,1.900363500083897961e+01
5.132682708581443265e+00,1.743969314994884001e-01,2.524644491237991062e+01
4.712327895825326074e+00,1.624893981701933665e-01,2.144023714036708483e+01
6.192236654708555221e+00,1.581721078392786251e-01,1.551173916396059838e+01
4.754200054801799524e+00,1.720847375901252974e-01,2.556373791642571547e+01
5.368964745437573960e+00,1.848650178426034796e-01,2.960023960632978657e+01
4.045710875842276621e+00,1.799970793258355573e-01,3.099076413784436212e+01
2.401156083443354738e+00,1.784864809641851513e-01,3.546872523418819867e+01
3.985420556344778653e+00,1.682247369108742230e-01,2.606217584879514604e+01
3.670659114508841636e+00,1.621916090453149606e-01,2.415831931627527496e+01
4.867832405733246048e+00,1.714250283765339500e-01,2.470868794633658894e+01
5.494491901316734150e+00,1.800478082137387803e-01,2.692608676114606325e+01
8.306687188154889157e+00,2.040496988650430665e-01,3.155081065895489445e+01
9.274274942231196306e+00,1.946053561149459210e-01,2.433703283355730917e+01
2.702899722996093157e+00,1.786914974806317336e-01,3.481069066777175181e+01
2.178610656048014071e+00,1.821980927836572006e-01,3.808261039344712628e+01
2.250675909831819865e+00,1.614748714159243148e-01,2.824313312411240062e+01
2.674258196680753485e+00,1.644660990445072080e-01,2.837246376050908836e+01
4.317683187902122022e+00,1.790762593944628944e-01,2.988317874327186630e+01
4.201725517873124538e+00,1.804222671712767956e-01,3.075061202991108900e+01
4.078398376572601514e+00,1.759808904669932783e-01,2.919313397398325094e+01
2.884745768499160423e+00,1.754436667514831238e-01,3.283538173477198541e+01
4.959589468908312426e+00,1.769782486145131950e-01,2.722852931618275107e+01
6.089088669322355152e+00,2.011272366168875281e-01,3.627678851860914477e+01
3.971107996896915182e+00,2.067197253637041154e-01,4.522010240555675153e+01
3.492503408906259210e+00,1.878384807932845790e-01,3.688958318072000253e+01
5.746393724277992554e+00,1.839126519551348149e-01,2.805999017899219083e+01
6.241226545687331040e+00,2.102079553064296891e-01,4.083431227074900960e+01
3.849282914519120080e+00,2.009880022243610009e-01,4.295789280186570380e+01
3.948355639473025480e+00,1.840340205738051071e-01,3.341938182286295245e+01
3.834864903959948723e+00,1.912137439984760712e-01,3.746229433865119063e+01
7.060121645045588146e+00,1.946008222619959316e-01,2.956506551136513039e+01
5.680107250869853353e+00,2.122142761087247587e-01,4.330837011730722708e+01
3.662266463781719050e+00,1.955711957575360094e-01,4.040726581092297209e+01
4.060260297924355832e+00,1.899040919819989792e-01,3.594383696496655034e+01
3.692974364654748154e+00,1.849410855523397623e-01,3.457157315679636156e+01
3.453734981487814437e+00,1.933863459735460921e-01,3.966512018146804053e+01
6.967840382379033137e+00,1.977576337865300515e-01,3.131918084687651316e+01
6.250867967320815843e+00,1.973099351090762954e-01,3.325207605761364249e+01
