# Resampled Count, Count Uncertainty, Sky Count
1.506238477765593231e+01,2.864762361524866296e-01,2.807066449420979737e+01
2.092184448028763555e+01,2.931822084941824724e-01,2.352970833490708458e+01
8.873641945001631726e+00,2.765822796910711312e-01,3.201029914012196542e+01
7.249281963905325199e+00,2.771813028236034815e-01,3.372636088132754395e+01
4.339239890861496640e+00,2.778525297145227890e-01,3.790870847192952198e+01
3.433658963122558028e+00,2.918615359725342806e-01,4.312093398034917158e+01
1.117688123101466324e+01,2.823406279407587038e-01,3.071490828637280401e+01
1.125510186925228950e+01,2.653824759760251562e-01,2.591141713447198924e+01
7.612118555853893298e+00,2.599754763659606338e-01,2.858472005861372267e+01
8.432636912207032154e+00,2.910525252039086186e-01,3.774719064531542045e+01
6.968688975871547342e+00,2.893967651066849389e-01,3.909007174070715962e+01
6.704806211146311590e+00,2.642718741315770448e-01,3.042103978528475849e+01
1.223802947592610835e+01,2.757591421766101281e-01,2.722843530008984914e+01
1.320405015661122228e+01,2.903419500356151928e-01,3.044565402777838514e+01
1.324863765786892955e+01,2.836104765437347797e-01,2.849664254736783775e+01
1.059264190564051411e+01,2.693815066807134229e-01,2.780601041319174271e+01
7.190832845865509526e+00,2.832884792690756326e-01,3.629953697982720939e+01
1.084627272422595112e+01,2.966225912092315675e-01,3.537791117627798343e+01
9.249880007626609668e+00,3.180216694574201641e-01,4.393663602589597872e+01
9.614440662971489360e+00,2.890821294384883777e-01,3.479645093788300869e+01
1.335272068653687860e+01,2.700158965567603375e-01,2.388044748743656243e+01
8.310853261067904896e+00,2.830166411339882226e-01,3.448269861145809045e+01
3.330655545690973884e+00,2.606601708694443187e-01,3.411729139467102812e+01
9.915866121532255661e+00,2.775633904013071751e-01,3.058170879789185648e+01
8.054060880622303742e+00,2.815076517323421013e-01,3.391126029492698279e+01
4.185509268363526658e+00,2.703720393368895247e-01,3.555506324475854285e+01
6.331095349398832006e+00,2.737709729162141614e-01,3.382693426241542767e+01
1.229645111664700607e+01,2.805597398303995016e-01,2.810533746911540121e+01
1.109093881284594296e+01,2.777196963413272601e-01,2.854612115199521583e+01
1.294459599845827746e+01,2.701990269051838811e-01,2.448561771443280222e+01
9.931109623963218169e+00,2.936092695826965637e-01,3.627805673570878753e+01
6.443649621203073607e+00,2.701852153807525747e-01,3.252345307901482130e+01
